artist_id, artist_name, artist_reference
31885,Mariah Carey,https://www.iheart.com/artist/mariah-carey-31885/
1393,The Drifters,https://www.iheart.com/artist/the-drifters-1393/
2618,Air Supply,https://www.iheart.com/artist/air-supply-2618/
104851,The Ray Conniff Singers,https://www.iheart.com/artist/the-ray-conniff-singers-104851/
89607,THURL RAVENSCROFT,https://www.iheart.com/artist/thurl-ravenscroft-89607/
30032566,Glee,https://www.iheart.com/artist/glee-30032566/
118320,Darlene Love,https://www.iheart.com/artist/darlene-love-118320/
14581,Johnny Mathis,https://www.iheart.com/artist/johnny-mathis-14581/
2564,Tony Bennett,https://www.iheart.com/artist/tony-bennett-2564/
35319,Martina McBride,https://www.iheart.com/artist/martina-mcbride-35319/
58319,Michael Bublé,https://www.iheart.com/artist/michael-buble-58319/
57699,Jordin Sparks,https://www.iheart.com/artist/jordin-sparks-57699/
120889,Percy Faith,https://www.iheart.com/artist/percy-faith-120889/
39068,Celine Dion,https://www.iheart.com/artist/celine-dion-39068/
197,Perry Como,https://www.iheart.com/artist/perry-como-197/
30066836,Percy Faith & His Orchestra & Chorus,https://www.iheart.com/artist/percy-faith-his-orchestra-chorus-30066836/
36645,Backstreet Boys,https://www.iheart.com/artist/backstreet-boys-36645/
89545,The Ronettes,https://www.iheart.com/artist/the-ronettes-89545/
30605705,The A-Strings,https://www.iheart.com/artist/the-a-strings-30605705/
18115,Brenda Lee,https://www.iheart.com/artist/brenda-lee-18115/
204996,Gene Autry with The Pinafores,https://www.iheart.com/artist/gene-autry-with-the-pinafores-204996/
31884,Jimmy Buffett,https://www.iheart.com/artist/jimmy-buffett-31884/
6815,Fred Astaire,https://www.iheart.com/artist/fred-astaire-6815/
28649,Anne Murray,https://www.iheart.com/artist/anne-murray-28649/
105037,Bob Seger & The Silver Bullet Band,https://www.iheart.com/artist/bob-seger-the-silver-bullet-band-105037/
2084,Warrant,https://www.iheart.com/artist/warrant-2084/
3106,Michael Sembello,https://www.iheart.com/artist/michael-sembello-3106/
6739,Michael Jackson,https://www.iheart.com/artist/michael-jackson-6739/
28836,Steve Miller Band,https://www.iheart.com/artist/steve-miller-band-28836/
40424,Blue Öyster Cult,https://www.iheart.com/artist/blue-oyster-cult-40424/
5041,Elton John,https://www.iheart.com/artist/elton-john-5041/
33329,Survivor,https://www.iheart.com/artist/survivor-33329/
40082,John Mellencamp,https://www.iheart.com/artist/john-mellencamp-40082/
4258,Queen,https://www.iheart.com/artist/queen-4258/
39871,Free,https://www.iheart.com/artist/free-39871/
4687,Genesis,https://www.iheart.com/artist/genesis-4687/
39361,Bon Jovi,https://www.iheart.com/artist/bon-jovi-39361/
40304,Semisonic,https://www.iheart.com/artist/semisonic-40304/
39159,Scorpions,https://www.iheart.com/artist/scorpions-39159/
86244,Ace of Base,https://www.iheart.com/artist/ace-of-base-86244/
39229,Aerosmith,https://www.iheart.com/artist/aerosmith-39229/
28794,Pat Benatar,https://www.iheart.com/artist/pat-benatar-28794/
41396,Sugar Ray,https://www.iheart.com/artist/sugar-ray-41396/
21307,Eartha Kitt,https://www.iheart.com/artist/eartha-kitt-21307/
40238,Jeffrey Osborne,https://www.iheart.com/artist/jeffrey-osborne-40238/
33498,Lady A,https://www.iheart.com/artist/lady-a-33498/
34786,Christina Aguilera,https://www.iheart.com/artist/christina-aguilera-34786/
631,Willie Nelson,https://www.iheart.com/artist/willie-nelson-631/
3428,Nat King Cole,https://www.iheart.com/artist/nat-king-cole-3428/
3053,Amy Grant,https://www.iheart.com/artist/amy-grant-3053/
136372,Boston Pops Orchestra,https://www.iheart.com/artist/boston-pops-orchestra-136372/
680993,The Pretenders,https://www.iheart.com/artist/the-pretenders-680993/
41411,"Harry Connick, Jr.",https://www.iheart.com/artist/harry-connick-jr-41411/
34788,Kelly Clarkson,https://www.iheart.com/artist/kelly-clarkson-34788/
16425,Andy Williams,https://www.iheart.com/artist/andy-williams-16425/
1014,Elvis Presley,https://www.iheart.com/artist/elvis-presley-1014/
122102,Kimberley Locke,https://www.iheart.com/artist/kimberley-locke-122102/
6555,Dean Martin,https://www.iheart.com/artist/dean-martin-6555/
30083156,Perry Como and The Fontane Sisters with Mitchell Ayres & His Orchestra,https://www.iheart.com/artist/perry-como-and-the-fontane-sisters-with-mitchell-ayres-his-orchestra-30083156/
104848,Ray Conniff,https://www.iheart.com/artist/ray-conniff-104848/
1864,Bing Crosby,https://www.iheart.com/artist/bing-crosby-1864/
31892,Barbra Streisand,https://www.iheart.com/artist/barbra-streisand-31892/
58573,David Foster,https://www.iheart.com/artist/david-foster-58573/
384,Aaron Neville,https://www.iheart.com/artist/aaron-neville-384/
972,John Lennon,https://www.iheart.com/artist/john-lennon-972/
30507,José Feliciano,https://www.iheart.com/artist/jose-feliciano-30507/
89556,Sarah McLachlan,https://www.iheart.com/artist/sarah-mclachlan-89556/
30916992,Barry Manilow with Exposé,https://www.iheart.com/artist/barry-manilow-with-expose-30916992/
644,Chuck Berry,https://www.iheart.com/artist/chuck-berry-644/
39605,Mannheim Steamroller,https://www.iheart.com/artist/mannheim-steamroller-39605/
35053,The Jackson 5,https://www.iheart.com/artist/the-jackson-5-35053/
739,Frank Sinatra,https://www.iheart.com/artist/frank-sinatra-739/
122380,LeAnn Rimes,https://www.iheart.com/artist/leann-rimes-122380/
32558868,Burl Ives & Videocraft Chorus,https://www.iheart.com/artist/burl-ives-videocraft-chorus-32558868/
31885,Mariah Carey,https://www.iheart.com/artist/mariah-carey-31885/
1393,The Drifters,https://www.iheart.com/artist/the-drifters-1393/
2618,Air Supply,https://www.iheart.com/artist/air-supply-2618/
104851,The Ray Conniff Singers,https://www.iheart.com/artist/the-ray-conniff-singers-104851/
89607,THURL RAVENSCROFT,https://www.iheart.com/artist/thurl-ravenscroft-89607/
30032566,Glee,https://www.iheart.com/artist/glee-30032566/
118320,Darlene Love,https://www.iheart.com/artist/darlene-love-118320/
14581,Johnny Mathis,https://www.iheart.com/artist/johnny-mathis-14581/
2564,Tony Bennett,https://www.iheart.com/artist/tony-bennett-2564/
35319,Martina McBride,https://www.iheart.com/artist/martina-mcbride-35319/
58319,Michael Bublé,https://www.iheart.com/artist/michael-buble-58319/
57699,Jordin Sparks,https://www.iheart.com/artist/jordin-sparks-57699/
120889,Percy Faith,https://www.iheart.com/artist/percy-faith-120889/
39068,Celine Dion,https://www.iheart.com/artist/celine-dion-39068/
197,Perry Como,https://www.iheart.com/artist/perry-como-197/
30066836,Percy Faith & His Orchestra & Chorus,https://www.iheart.com/artist/percy-faith-his-orchestra-chorus-30066836/
36645,Backstreet Boys,https://www.iheart.com/artist/backstreet-boys-36645/
89545,The Ronettes,https://www.iheart.com/artist/the-ronettes-89545/
34786,Christina Aguilera,https://www.iheart.com/artist/christina-aguilera-34786/
