track_id, track_name, track_reference
493413,Jingle Bells,https://www.iheart.com/artist/frank-sinatra-739/songs/jingle-bells-493413/
2554952,The Twelve Days of Christmas,https://www.iheart.com/artist/perry-como-197/songs/the-twelve-days-of-christmas-2554952/
1801839,"Let It Snow, Let It Snow, Let It Snow",https://www.iheart.com/artist/harry-connick-jr-41411/songs/let-it-snow-let-it-snow-let-it-snow-1801839/
4019063,Hark! The Herald Angels Sing,https://www.iheart.com/artist/percy-faith-his-orchestra-chorus-30066836/songs/hark-the-herald-angels-sing-4019063/
27734128,Sleigh Ride,https://www.iheart.com/artist/the-a-strings-30605705/songs/sleigh-ride-27734128/
15584315,It's Beginning to Look a Lot like Christmas,https://www.iheart.com/artist/michael-buble-58319/songs/its-beginning-to-look-a-lot-like-christmas-15584315/
182345334,Last Christmas,https://www.iheart.com/artist/backstreet-boys-36645/songs/last-christmas-182345334/
2020285,Happy Holiday / The Holiday Season,https://www.iheart.com/artist/andy-williams-16425/songs/happy-holiday-the-holiday-season-2020285/
2512243,It's The Most Wonderful Time Of The Year,https://www.iheart.com/artist/andy-williams-16425/songs/its-the-most-wonderful-time-of-the-year-2512243/
43065831,Mele Kalikimaka,https://www.iheart.com/artist/jimmy-buffett-31884/songs/mele-kalikimaka-43065831/
19435483,Frosty the Snowman,https://www.iheart.com/artist/willie-nelson-631/songs/frosty-the-snowman-19435483/
2538290,Sleigh Ride,https://www.iheart.com/artist/johnny-mathis-14581/songs/sleigh-ride-2538290/
1037391,Santa Claus Is Comin' To Town,https://www.iheart.com/artist/fred-astaire-6815/songs/santa-claus-is-comin-to-town-1037391/
493426,The Christmas Waltz,https://www.iheart.com/artist/frank-sinatra-739/songs/the-christmas-waltz-493426/
474329,Silver Bells,https://www.iheart.com/artist/anne-murray-28649/songs/silver-bells-474329/
64136051,Little Drummer Boy,https://www.iheart.com/artist/bob-seger-the-silver-bullet-band-105037/songs/little-drummer-boy-64136051/
2729896,The Twelve Days Of Christmas,https://www.iheart.com/artist/ray-conniff-104848/songs/the-twelve-days-of-christmas-2729896/
19413275,Here Comes Santa Claus (Right Down Santa Claus Lane),https://www.iheart.com/artist/elvis-presley-1014/songs/here-comes-santa-claus-right-down-santa-claus-lane-19413275/
757637,Handel: Messiah Hwv 56: Hallelujah (Part 2),https://www.iheart.com/artist/boston-pops-orchestra-136372/songs/handel-messiah-hwv-56-hallelujah-part-2-757637/
2024912,Christmas Eve / Sarajevo 12/24,https://www.iheart.com/artist/trans-siberian-orchestra-58610/songs/christmas-eve-sarajevo-1224-2024912/
2600877,Eye of the Tiger,https://www.iheart.com/artist/survivor-33329/songs/eye-of-the-tiger-2600877/
689713,Jack & Diane,https://www.iheart.com/artist/john-mellencamp-40082/songs/jack-diane-689713/
14650881,Bohemian Rhapsody,https://www.iheart.com/artist/queen-4258/songs/bohemian-rhapsody-14650881/
684762,All Right Now,https://www.iheart.com/artist/free-39871/songs/all-right-now-684762/
1121980,That's All,https://www.iheart.com/artist/genesis-4687/songs/thats-all-1121980/
82655671,You Give Love A Bad Name,https://www.iheart.com/artist/bon-jovi-39361/songs/you-give-love-a-bad-name-82655671/
750465,Closing Time,https://www.iheart.com/artist/semisonic-40304/songs/closing-time-750465/
19091752,The Way You Make Me Feel,https://www.iheart.com/artist/michael-jackson-6739/songs/the-way-you-make-me-feel-19091752/
61427871,Rock You Like A Hurricane,https://www.iheart.com/artist/scorpions-39159/songs/rock-you-like-a-hurricane-61427871/
96583958,The Sign,https://www.iheart.com/artist/ace-of-base-86244/songs/the-sign-96583958/
1121346,Invisible Touch,https://www.iheart.com/artist/genesis-4687/songs/invisible-touch-1121346/
91697632,Dream On,https://www.iheart.com/artist/aerosmith-39229/songs/dream-on-91697632/
533820,Hit Me With Your Best Shot,https://www.iheart.com/artist/pat-benatar-28794/songs/hit-me-with-your-best-shot-533820/
1012806,Fly,https://www.iheart.com/artist/sugar-ray-41396/songs/fly-1012806/
446508,What About Love?,https://www.iheart.com/artist/heart-30587/songs/what-about-love-446508/
121079336,Kiss,https://www.iheart.com/artist/prince-3403/songs/kiss-121079336/
46715212,White Wedding,https://www.iheart.com/artist/billy-idol-28839/songs/white-wedding-46715212/
1059244,Into the Groove,https://www.iheart.com/artist/madonna-35393/songs/into-the-groove-1059244/
625966,Follow You Down,https://www.iheart.com/artist/gin-blossoms-4686/songs/follow-you-down-625966/
2563034,Jessie's Girl,https://www.iheart.com/artist/rick-springfield-42667/songs/jessies-girl-2563034/
28931249,Deck the Halls,https://www.iheart.com/artist/mannheim-steamroller-39605/songs/deck-the-halls-28931249/
42160835,O Holy Night,https://www.iheart.com/artist/martina-mcbride-35319/songs/o-holy-night-42160835/
3907600,This Christmas,https://www.iheart.com/artist/jeffrey-osborne-40238/songs/this-christmas-3907600/
2954725,Feliz Navidad,https://www.iheart.com/artist/jose-feliciano-30507/songs/feliz-navidad-2954725/
43494082,A Holly Jolly Christmas,https://www.iheart.com/artist/lady-a-33498/songs/a-holly-jolly-christmas-43494082/
10470421,This Christmas,https://www.iheart.com/artist/christina-aguilera-34786/songs/this-christmas-10470421/
5897140,Rudolph the Red-Nosed Reindeer,https://www.iheart.com/artist/gene-autry-with-the-pinafores-204996/songs/rudolph-the-red-nosed-reindeer-5897140/
19435483,Frosty the Snowman,https://www.iheart.com/artist/willie-nelson-631/songs/frosty-the-snowman-19435483/
57628080,Adeste Fidelis (O Come All Ye Faithful),https://www.iheart.com/artist/nat-king-cole-3428/songs/adeste-fidelis-o-come-all-ye-faithful-57628080/
546792,It's The Most Wonderful Time Of The Year,https://www.iheart.com/artist/amy-grant-3053/songs/its-the-most-wonderful-time-of-the-year-546792/
19053708,Anderson: Sleigh Ride,https://www.iheart.com/artist/boston-pops-orchestra-136372/songs/anderson-sleigh-ride-19053708/
2016730,Have Yourself A Merry Little Christmas,https://www.iheart.com/artist/the-pretenders-680993/songs/have-yourself-a-merry-little-christmas-2016730/
1801839,"Let It Snow, Let It Snow, Let It Snow",https://www.iheart.com/artist/harry-connick-jr-41411/songs/let-it-snow-let-it-snow-let-it-snow-1801839/
44167511,Oh Holy Night,https://www.iheart.com/artist/kelly-clarkson-34788/songs/oh-holy-night-44167511/
